user_name,computer_name,service_type,source_product,device_id,first_seen,last_seen,event_count,notes
,025-1H85044SRJ,SWG,Cisco Secure Access,01017813335a5bd1,2026-03-30T13:35:09.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,025-2MQ5091GPD,SWG,Cisco Secure Access,01016ee4b60f2458,2025-09-26T18:13:12.000Z,,0,swgStatus=Off; username correlation temporarily disabled
,025-2MQ5091GYT,SWG,Cisco Secure Access,01016cedc2bb50e7,2026-03-30T13:27:34.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,025-310CP-OJA48,SWG,Cisco Secure Access,0101d0939edcebdf,2026-03-30T13:32:16.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,025-5CD4178D3S,SWG,Cisco Secure Access,0101fbcf134574df,2025-10-24T17:45:38.000Z,,0,swgStatus=Off; username correlation temporarily disabled
,025-5CG1124Z42,SWG,Cisco Secure Access,0101228d79ac3b9e,2026-03-30T13:08:37.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,025-MXL3402BGW,SWG,Cisco Secure Access,01012aba6050474f,2026-03-26T20:31:51.000Z,,0,swgStatus=Off; username correlation temporarily disabled
,2305-1WPVP74,SWG,Cisco Secure Access,0101a56e6f8feeff,2026-03-05T14:39:44.000Z,,0,swgStatus=Off; username correlation temporarily disabled
,2305-1WPVP74,SWG,Cisco Secure Access,0101f7966a6f7bee,2026-03-30T13:27:47.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,2305-2Q59BK3,SWG,Cisco Secure Access,01010cd331a73568,2026-03-30T13:29:03.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,2305-8R5HQV3,SWG,Cisco Secure Access,0101bf713c979724,2026-03-30T13:09:15.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,2305-GKHD6F3,SWG,Cisco Secure Access,0101809708650eb7,2026-03-30T13:26:05.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,331-1H850958JS,SWG,Cisco Secure Access,0101ebda214d2a4c,2026-02-03T21:33:00.000Z,,0,swgStatus=Off; username correlation temporarily disabled
,334-5CD419B6MZ,SWG,Cisco Secure Access,0101e7312963a141,2026-03-30T13:15:59.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,621-1H85452HLT,SWG,Cisco Secure Access,0101ff72d96f2742,2026-03-30T13:31:25.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425X9C,SWG,Cisco Secure Access,010106d6d2af0db4,2026-03-30T13:30:01.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XFQ,SWG,Cisco Secure Access,0101ff9a8d8bfbad,2026-03-30T13:34:32.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XFR,SWG,Cisco Secure Access,010167e7e782ef54,2026-03-30T13:34:20.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XG2,SWG,Cisco Secure Access,0101e6f55ca18333,2026-03-30T13:22:57.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XGJ,SWG,Cisco Secure Access,0101a0f867f56408,2026-03-30T13:32:15.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XGQ,SWG,Cisco Secure Access,01015def08392023,2026-03-30T13:13:56.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XGR,SWG,Cisco Secure Access,0101a97080df6118,2026-03-30T13:27:34.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XH3,SWG,Cisco Secure Access,010118956695bb9a,2026-03-30T13:13:34.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XH8,SWG,Cisco Secure Access,0101cbf872c98ef3,2026-03-30T13:25:15.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XHH,SWG,Cisco Secure Access,0101b3c240c915b7,2026-03-30T13:27:22.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XHP,SWG,Cisco Secure Access,0101db49c8834f9d,2026-03-30T13:33:09.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XHX,SWG,Cisco Secure Access,01011d2edb357317,2026-03-27T21:04:53.000Z,,0,swgStatus=Off; username correlation temporarily disabled
,783-5CD2425XJL,SWG,Cisco Secure Access,0101924c20319d9a,2026-03-30T13:19:56.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD2425XQ8,SWG,Cisco Secure Access,0101a417ba4c70f5,2026-03-30T13:29:57.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD242XC7,SWG,Cisco Secure Access,01017080578534b2,2026-03-30T13:24:32.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
,783-5CD332G0CM,SWG,Cisco Secure Access,0101a36c9a8937df,2026-03-30T13:12:42.000Z,,0,swgStatus=Protected; username correlation temporarily disabled
